dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time,seed
0.33676095658244276,128,0.01,80,145,8,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.879042,
0.6492887570443409,128,0.01,29,61,6,rmsprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26607142857142857,0.7368421052631579,0:00:03.654449,
0.5221231876333015,128,0.01,148,145,5,SGD,sigmoid,sum,0.2631578947368421,0,0.9071428571428573,0.7368421052631579,0:00:03.586527,
0.48701951408777605,128,0.01,104,61,7,adam,relu,sum,0.868421052631579,0.9056603773584906,0.9214285714285714,0.9281203007518796,0:00:02.002870,
0.7126084324768684,128,0.01,80,185,7,SGD,relu,sum,0.8157894736842105,0.888888888888889,0.9107142857142858,0.8,0:00:04.602872,
0.31034749745756146,128,0.01,102,196,4,adam,relu,mean,0.7368421052631579,0.8148148148148148,0.7,0.82272990167727,0:00:04.229037,
0.43481278719318456,128,0.01,69,88,6,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.402750,
0.47640352950403325,128,0.01,79,25,1,adam,relu,mean,0.7631578947368421,0.8363636363636364,0.8410714285714286,0.8313143971038708,0:00:00.501375,
0.5483812335247343,128,0.01,133,185,5,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.8,0.7368421052631579,0:00:04.737329,
0.3285957206579661,128,0.01,38,16,4,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.567707,
0.697877480165273,128,0.01,70,152,5,rmsprop,tanh,mean,0.7368421052631579,0.8484848484848484,0.7392857142857143,0.7368421052631579,0:00:04.570358,
0.4255600512211894,128,0.01,43,123,1,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.5142857142857142,0.7368421052631579,0:00:02.704654,
0.4345200149277457,128,0.01,59,138,1,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.3232142857142857,0.7368421052631579,0:00:03.195841,
0.6929221324467322,128,0.01,89,141,4,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.7000000000000001,0.7368421052631579,0:00:03.230323,
0.6664546925665016,128,0.01,123,100,5,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.537804,
0.43123522453978974,128,0.01,135,168,4,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.27142857142857146,0.7368421052631579,0:00:03.927629,
