dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time,seed
0.5256083665912601,128,0.01,94,151,2,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.775,0.8146227638060668,0:00:02.503857,
0.6628222738360356,128,0.01,144,55,2,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.016699,
0.7275451120561893,128,0.01,57,199,3,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.36607142857142855,0.7368421052631579,0:00:04.510423,
0.5444090110758073,128,0.01,102,166,9,SGD,tanh,sum,0.8157894736842105,0.8771929824561403,0.925,0.8486518019185895,0:00:05.230184,
0.3752827735427414,128,0.01,103,149,5,SGD,relu,sum,0.7631578947368421,0.8421052631578947,0.9178571428571429,0.8146227638060668,0:00:03.482160,
0.3441641676334125,128,0.01,121,68,4,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.275,0.7368421052631579,0:00:01.491000,
0.32599172177017155,128,0.01,71,100,3,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.8767857142857143,0.7368421052631579,0:00:02.374742,
0.3195928953294108,128,0.01,92,46,5,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.8964285714285715,0.7368421052631579,0:00:01.061199,
0.5017020461765735,128,0.01,82,17,5,SGD,tanh,sum,0.7368421052631579,0.8484848484848484,0.9214285714285715,0.7368421052631579,0:00:00.408140,
0.6799781980735158,128,0.01,55,86,2,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.8285714285714285,0.7368421052631579,0:00:01.717656,
0.3479689705798356,128,0.01,108,77,5,rmsprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.811814,
0.41391717387158206,128,0.01,74,36,2,adam,tanh,mean,0.8157894736842105,0.8771929824561403,0.8071428571428572,0.8486518019185895,0:00:00.779581,
0.7024060121228903,128,0.01,126,174,9,adam,relu,sum,0.8421052631578947,0.888888888888889,0.8785714285714286,0.896471949103528,0:00:05.714553,
0.4673939792148685,128,0.01,62,144,4,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.35,0.7368421052631579,0:00:03.771160,
0.7061954822778063,128,0.01,62,26,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.5750000000000001,0.7368421052631579,0:00:00.559646,
0.5863219696538636,128,0.01,33,123,1,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.8214285714285714,0.8671679197994987,0:00:03.168351,
0.3693687387468161,128,0.01,65,14,5,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.38928571428571435,0.7368421052631579,0:00:00.431573,
0.533352976875489,128,0.01,35,60,9,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.18928571428571428,0.7368421052631579,0:00:03.415499,
0.5089009342288369,128,0.01,27,32,6,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.4392857142857143,0.7368421052631579,0:00:01.635016,
0.5036241055435766,128,0.01,135,17,6,SGD,tanh,sum,0.7368421052631579,0.8484848484848484,0.9142857142857143,0.7368421052631579,0:00:00.498627,
0.75,128,0.01,104,19,4,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9035714285714286,0.7368421052631579,0:00:00.401796,
0.25,128,0.01,128,146,9,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.20714285714285713,0.7368421052631579,0:00:04.752734,
0.7409813040595652,128,0.01,92,28,8,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.8321428571428572,0.7909774436090226,0:00:00.886542,
