dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time,seed
0.4529177663554251,24,0.03259284731441393,92,45,2,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.4,0.7368421052631579,0:00:00.592560,
0.7254609087712389,112,0.048921309080933575,128,56,4,rmsprop,sigmoid,mean,0.2631578947368421,0,0.5,0.7368421052631579,0:00:01.562704,
0.28196040810239653,56,0.0988404464336127,100,13,4,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2625,0.7368421052631579,0:00:00.272115,
0.2601675245429939,106,0.024318303506232382,74,152,3,rmsprop,sigmoid,sum,0.2631578947368421,0,0.5,0.7368421052631579,0:00:03.965158,
0.5639077352235646,107,0.07785113163049531,105,65,5,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9071428571428573,0.9281203007518796,0:00:01.931873,
0.6813018309005153,51,0.045148297808223596,32,57,8,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7339285714285714,0.7368421052631579,0:00:03.126642,
0.29399278348079705,31,0.09427555829653725,84,189,1,adam,tanh,mean,0.7894736842105263,0.8666666666666666,0.8375,0.8070958646616541,0:00:02.164134,
0.3454139675956631,104,0.09898642608321216,36,152,8,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:08.825452,
0.6096179373093473,114,0.06175129072419752,83,191,8,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:08.760390,
0.33032250999318713,50,0.03771032832637858,93,104,6,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.3642857142857143,0.7368421052631579,0:00:02.471717,
0.37955087772797946,44,0.03987039466045821,76,199,2,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.6321428571428571,0.7368421052631579,0:00:02.684080,
0.5961532560291603,10,0.05491267319060176,143,71,8,SGD,tanh,sum,0.7368421052631579,0.8484848484848484,0.8357142857142857,0.7368421052631579,0:00:01.421637,
0.5362080742104263,84,0.0475269978493285,115,150,5,rmsprop,relu,sum,0.2631578947368421,0,0.5,0.7368421052631579,0:00:03.982917,
0.7353139789799027,54,0.010806371770130316,27,66,8,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.09464285714285714,0.7368421052631579,0:00:03.949107,
0.5776804903860113,78,0.06721373934933357,48,38,7,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.7928571428571429,0.7368421052631579,0:00:01.455542,
0.7452461309120018,70,0.07927575325009846,59,70,6,SGD,sigmoid,sum,0.7894736842105263,0.8666666666666666,0.9035714285714286,0.8070958646616541,0:00:02.187687,
0.44892149796076913,87,0.019147304375583186,146,99,2,adam,tanh,mean,0.8157894736842105,0.8679245283018868,0.8214285714285714,0.8872932330827068,0:00:01.670120,
0.45968891306357024,81,0.036270823885558134,66,92,5,adam,relu,sum,0.7368421052631579,0.8484848484848484,0.6785714285714286,0.7368421052631579,0:00:02.966715,
0.35532165055263293,24,0.04810691671897758,64,122,2,adam,tanh,mean,0.7894736842105263,0.8571428571428571,0.8428571428571429,0.8399570354457572,0:00:01.799302,
0.33068901403614204,58,0.033543686341224004,53,144,5,SGD,tanh,sum,0.8157894736842105,0.8771929824561403,0.9107142857142857,0.8486518019185895,0:00:03.543740,
0.7369140607266103,39,0.07400327458990794,47,108,5,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26249999999999996,0.7368421052631579,0:00:03.289903,
0.37576029607863287,15,0.0585362991235184,44,100,6,adam,relu,mean,0.8157894736842105,0.8679245283018868,0.8321428571428571,0.8872932330827068,0:00:03.045436,
0.5537382717402453,16,0.07836792634629658,43,100,5,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.454432,
0.26403377357233404,84,0.06788652934553017,73,164,8,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7107142857142857,0.7368421052631579,0:00:07.363137,
