dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time,seed
0.6926517003801302,120,0.0054948187976237,47,45,3,rmsprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26071428571428573,0.7368421052631579,0:00:01.671673,
0.6590323618638912,97,0.07295770104554239,146,181,6,SGD,relu,sum,0.868421052631579,0.9056603773584906,0.9107142857142858,0.9281203007518796,0:00:04.515319,
0.26515366929083045,71,0.008675127344213322,20,14,6,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.266633,
0.7416961586154328,117,0.06025041310918143,114,107,7,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.09999999999999999,0.7368421052631579,0:00:03.104628,
0.4321410487565591,44,0.06983244171673827,117,21,1,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5714285714285714,0.7368421052631579,0:00:00.385307,
0.6756106984218686,91,0.05052547891262645,125,44,7,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.329402,
0.35673768555880614,93,0.05606836834673131,119,197,6,adam,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.246643,
0.6273585437401192,101,0.04215476881164691,123,103,7,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.996247,
0.49415374978799687,56,0.08165132755784447,128,196,2,SGD,sigmoid,sum,0.6842105263157895,0.7272727272727273,0.9035714285714285,0.8872180451127819,0:00:03.347692,
0.5752268464974577,8,0.09794327109899623,77,183,1,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.861608,
0.5288875390667183,125,0.050194155876566796,80,174,7,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.965032,
