dropout_rate,hidden_channels,learning_rate,batch_size,epochs,amount_of_layers,optimizer,activation_function,pooling_algorithm,acc,f1,roc,pr,time,seed
0.5771381619347884,128,0.01,69,64,5,rmsprop,relu,sum,0.2631578947368421,0,0.5,0.7368421052631579,0:00:01.871035,
0.6932742320879217,128,0.01,66,147,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.8035714285714286,0.7368421052631579,0:00:03.300701,
0.720916705672034,128,0.01,120,15,4,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.374981,
0.34008308950803995,128,0.01,140,95,2,rmsprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.45,0.7368421052631579,0:00:01.707047,
0.3029981210203836,128,0.01,87,27,2,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.8875,0.7368421052631579,0:00:00.555800,
0.5213826448011722,128,0.01,39,194,8,SGD,sigmoid,sum,0.7631578947368421,0.8615384615384616,0.8982142857142857,0.7567567567567568,0:00:08.334771,
0.6328408632271174,128,0.01,93,181,2,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9017857142857143,0.7368421052631579,0:00:03.011099,
0.5328149733219918,128,0.01,61,133,4,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.12857142857142856,0.7368421052631579,0:00:03.470210,
0.520099809636817,128,0.01,103,80,5,rmsprop,tanh,mean,0.7368421052631579,0.8484848484848484,0.26607142857142857,0.7368421052631579,0:00:01.899171,
0.6719006171835972,128,0.01,22,25,3,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.4,0.7368421052631579,0:00:01.082817,
0.38666338089848035,128,0.01,79,94,5,adam,relu,sum,0.8157894736842105,0.8679245283018868,0.85,0.8872932330827068,0:00:02.161967,
0.5722703215919638,128,0.01,77,138,8,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.817857142857143,0.7909774436090226,0:00:04.115920,
0.5100850041690033,128,0.01,55,180,4,SGD,tanh,sum,0.8157894736842105,0.8727272727272727,0.9178571428571429,0.8671679197994987,0:00:04.525461,
0.2895748900204611,128,0.01,128,35,3,adam,relu,sum,0.868421052631579,0.9056603773584906,0.9178571428571428,0.9281203007518796,0:00:00.697104,
0.3500119295038291,128,0.01,41,40,5,rmsprop,relu,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.379128,
0.6285656659069457,128,0.01,31,180,2,adam,relu,mean,0.7631578947368421,0.8363636363636364,0.6642857142857144,0.8313143971038708,0:00:05.371303,
0.45835417827052644,128,0.01,36,144,1,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.8214285714285714,0.7909774436090226,0:00:03.852739,
0.3418103995592151,128,0.01,129,193,1,rmsprop,relu,mean,0.7894736842105263,0.8571428571428571,0.8285714285714286,0.8399570354457572,0:00:02.950623,
0.5247110079993147,128,0.01,105,15,6,rmsprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.426246,
0.5160899881634036,128,0.01,111,166,3,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.4785714285714286,0.7368421052631579,0:00:03.147683,
0.7016877545110128,128,0.01,129,192,2,adam,relu,mean,0.7368421052631579,0.8275862068965516,0.8285714285714286,0.7909774436090226,0:00:03.387526,
0.5116586014126047,128,0.01,48,187,6,SGD,tanh,sum,0.868421052631579,0.9056603773584906,0.9142857142857144,0.9281203007518796,0:00:07.011196,
0.6757362656568936,128,0.01,59,191,5,adam,relu,mean,0.7631578947368421,0.8421052631578947,0.7785714285714285,0.8146227638060668,0:00:05.575117,
0.3687427856467656,128,0.01,77,153,6,rmsprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.7464285714285714,0.7368421052631579,0:00:03.828257,
0.2899764733051615,128,0.01,60,166,4,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.293199,
0.734966600426106,128,0.01,47,197,2,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.735932,
0.25,128,0.01,54,184,9,SGD,tanh,sum,0.8157894736842105,0.8727272727272727,0.9178571428571428,0.8671679197994987,0:00:07.092172,
0.75,128,0.01,46,179,9,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.1857142857142857,0.7368421052631579,0:00:08.361917,
0.6346970751158876,128,0.01,53,187,5,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.269469,
0.5804576499151151,128,0.01,56,180,6,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.506158,
0.6240683273194914,128,0.01,127,36,3,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.712019,
0.4525072823549364,128,0.01,130,192,4,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26607142857142857,0.7368421052631579,0:00:04.274525,
0.3742290031930784,128,0.01,78,138,9,adam,relu,mean,0.7631578947368421,0.8235294117647057,0.8357142857142857,0.8689931350114416,0:00:04.438930,
0.3660278666606271,128,0.01,92,181,3,SGD,sigmoid,sum,0.8157894736842105,0.888888888888889,0.9035714285714286,0.8,0:00:03.374006,
0.6406540692147732,128,0.01,92,180,2,adam,relu,sum,0.8157894736842105,0.8771929824561403,0.7571428571428571,0.8486518019185895,0:00:02.939431,
0.4576723050770914,128,0.01,92,180,4,adam,sigmoid,mean,0.868421052631579,0.9056603773584906,0.825,0.9281203007518796,0:00:03.833011,
0.6064474220546852,128,0.01,129,35,4,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.850414,
0.5496478569455607,128,0.01,93,182,2,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.46785714285714286,0.7368421052631579,0:00:03.037284,
0.5336795257416485,128,0.01,92,181,3,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.5821428571428571,0.7368421052631579,0:00:03.386161,
0.28203446105966656,128,0.01,39,195,9,SGD,sigmoid,sum,0.8157894736842105,0.888888888888889,0.8946428571428571,0.8,0:00:08.901911,
0.3158525069105181,128,0.01,79,138,9,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.376855,
0.32631152555907234,128,0.01,59,190,4,adam,relu,mean,0.7631578947368421,0.8363636363636364,0.8035714285714286,0.8313143971038708,0:00:05.010382,
0.6833561253891948,128,0.01,58,190,3,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.8071428571428572,0.876141245972073,0:00:04.392102,
0.5491383661098004,128,0.01,39,195,8,SGD,sigmoid,sum,0.7894736842105263,0.8666666666666666,0.9,0.8070958646616541,0:00:08.305492,
0.3608675753247568,128,0.01,77,138,9,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2589285714285714,0.7368421052631579,0:00:04.420001,
0.5883320452607477,128,0.01,17,153,6,adam,relu,mean,0.7631578947368421,0.8363636363636364,0.7232142857142857,0.8313143971038708,0:00:11.588932,
0.3987450112507827,128,0.01,39,195,8,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.25357142857142856,0.7368421052631579,0:00:08.569281,
0.609703849162747,128,0.01,128,35,3,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26785714285714285,0.7368421052631579,0:00:00.705681,
0.5839305220524056,128,0.01,125,49,2,adam,tanh,sum,0.7631578947368421,0.8474576271186439,0.825,0.7989934513703613,0:00:00.881618,
0.6307811313031755,128,0.01,111,154,8,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.2589285714285714,0.7368421052631579,0:00:04.696913,
0.50645705005425,128,0.01,68,132,6,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.194724,
0.4213682354720424,128,0.01,85,52,2,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.825,0.7368421052631579,0:00:00.875878,
0.7259108583178386,128,0.01,75,116,2,rmsprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26249999999999996,0.7368421052631579,0:00:01.944934,
0.34869412316506404,128,0.01,89,32,8,SGD,tanh,mean,0.7368421052631579,0.8484848484848484,0.2107142857142857,0.7368421052631579,0:00:00.954489,
0.3340246544763589,128,0.01,64,125,1,rmsprop,sigmoid,mean,0.7894736842105263,0.8620689655172413,0.8160714285714286,0.8229949874686716,0:00:02.305092,
0.6434331995388746,128,0.01,127,22,9,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.35,0.7368421052631579,0:00:00.779473,
0.289915815219112,128,0.01,94,26,8,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.7321428571428571,0.7368421052631579,0:00:00.831978,
0.734004118489715,128,0.01,122,63,2,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8392857142857143,0.8399570354457572,0:00:01.193578,
0.5289704501115442,128,0.01,64,83,4,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.189313,
0.6974938426246409,128,0.01,74,36,3,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.5107142857142857,0.7368421052631579,0:00:00.918659,
0.3771307979357666,128,0.01,25,17,8,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7392857142857143,0.7368421052631579,0:00:01.105423,
0.6226233679474541,128,0.01,149,164,9,adam,tanh,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:05.850039,
0.5578925279955064,128,0.01,24,24,8,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:01.719025,
0.31856883150686477,128,0.01,109,140,5,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.274488,
0.2650308720223303,128,0.01,104,10,4,rmsprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.242331,
0.48651282780960736,128,0.01,19,161,9,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:13.526917,
0.527204790949203,128,0.01,29,58,2,adam,tanh,sum,0.7631578947368421,0.8524590163934425,0.8464285714285714,0.7842333105491,0:00:02.034297,
0.74551493466796,128,0.01,83,189,9,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:06.001870,
0.6407311705019298,128,0.01,149,94,1,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.7464285714285714,0.7368421052631579,0:00:01.429303,
0.28362491663674444,128,0.01,147,136,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7178571428571429,0.7368421052631579,0:00:02.470543,
0.392507608064411,128,0.01,23,42,4,adam,relu,sum,0.868421052631579,0.9056603773584906,0.9107142857142857,0.9281203007518796,0:00:02.079679,
0.7213233265271866,128,0.01,118,131,6,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.32499999999999996,0.7368421052631579,0:00:03.459815,
0.49951690267963117,128,0.01,110,20,3,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.407180,
0.5477838746921768,128,0.01,25,63,8,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2607142857142857,0.7368421052631579,0:00:03.959223,
0.44577775648735407,128,0.01,116,77,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.8071428571428573,0.7368421052631579,0:00:01.362460,
0.33445245082987235,128,0.01,38,59,7,adam,relu,sum,0.8157894736842105,0.8727272727272727,0.9249999999999999,0.8671679197994987,0:00:02.418886,
0.25361574456741376,128,0.01,29,74,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7999999999999999,0.7368421052631579,0:00:02.637029,
0.7421801589077074,128,0.01,148,180,7,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:05.523352,
0.4051709443756965,128,0.01,83,78,2,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.8035714285714286,0.7368421052631579,0:00:01.291877,
0.6819728003104863,128,0.01,18,157,6,rmsprop,relu,mean,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:11.471413,
0.6022521164806748,128,0.01,77,65,6,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.8999999999999999,0.7368421052631579,0:00:01.691811,
0.6326631680877361,128,0.01,78,131,4,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.725242,
0.608828716305696,128,0.01,25,114,7,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2589285714285714,0.7368421052631579,0:00:06.631704,
0.4568889846023197,128,0.01,105,180,6,rmsprop,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2607142857142857,0.7368421052631579,0:00:04.654953,
0.4702576343823676,128,0.01,74,138,1,adam,sigmoid,sum,0.2631578947368421,0,0.45,0.7368421052631579,0:00:02.555705,
0.27649281904070017,128,0.01,71,28,3,adam,relu,sum,0.868421052631579,0.9056603773584906,0.9142857142857144,0.9281203007518796,0:00:00.690841,
0.700355998855507,128,0.01,19,79,6,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.3553571428571428,0.7368421052631579,0:00:05.202435,
0.6401170948614391,128,0.01,65,56,3,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:01.356798,
0.42239685328930376,128,0.01,111,127,5,adam,tanh,mean,0.6842105263157895,0.7391304347826088,0.7928571428571429,0.8628863826232247,0:00:03.028440,
0.4429962805876245,128,0.01,123,111,3,adam,tanh,mean,0.7894736842105263,0.8750000000000001,0.825,0.7777777777777778,0:00:02.183015,
0.2696821751790739,128,0.01,146,19,9,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26249999999999996,0.7368421052631579,0:00:00.704573,
0.5604412624607279,128,0.01,44,103,6,adam,relu,sum,0.8421052631578947,0.888888888888889,0.8964285714285715,0.896471949103528,0:00:03.939712,
0.7350843042865483,128,0.01,119,98,8,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.2642857142857143,0.7368421052631579,0:00:03.050086,
0.4341514978858589,128,0.01,103,13,5,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:00.333045,
0.6259030439174134,128,0.01,122,119,5,rmsprop,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:02.885747,
0.6190095816946196,128,0.01,120,86,1,adam,relu,sum,0.8421052631578947,0.888888888888889,0.8535714285714285,0.896471949103528,0:00:01.322248,
0.6326537704644092,128,0.01,99,91,5,adam,tanh,sum,0.7368421052631579,0.8484848484848484,0.9089285714285714,0.7368421052631579,0:00:02.129511,
0.7236564571242924,128,0.01,83,84,2,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8321428571428572,0.7368421052631579,0:00:01.384702,
0.6575247867537333,128,0.01,33,73,7,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.4714285714285714,0.7368421052631579,0:00:03.519636,
0.6323499461676818,128,0.01,50,153,2,adam,relu,sum,0.8421052631578947,0.8928571428571428,0.7642857142857142,0.876141245972073,0:00:03.169171,
0.49368726118051376,128,0.01,118,91,2,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.8214285714285714,0.8399570354457572,0:00:01.631388,
0.6190526920358495,128,0.01,48,182,5,SGD,relu,sum,0.8157894736842105,0.8727272727272727,0.9142857142857144,0.8671679197994987,0:00:06.408403,
0.6526532898928108,128,0.01,60,49,4,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:01.341974,
0.716117886978079,128,0.01,21,115,3,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.6071428571428572,0.7368421052631579,0:00:05.446112,
0.2812739511114009,128,0.01,65,126,4,adam,relu,mean,0.7894736842105263,0.8666666666666666,0.8678571428571429,0.8070958646616541,0:00:03.456409,
0.2734477393216395,128,0.01,52,42,3,SGD,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7339285714285715,0.7368421052631579,0:00:01.023185,
0.3857188336824924,128,0.01,51,46,5,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9,0.7368421052631579,0:00:01.306322,
0.7442212943999365,128,0.01,149,105,9,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.7410714285714286,0.7368421052631579,0:00:03.749816,
0.5072532689753627,128,0.01,116,156,2,adam,sigmoid,mean,0.7894736842105263,0.8518518518518519,0.8178571428571428,0.8582272990167727,0:00:02.665877,
0.4181359787317896,128,0.01,47,184,6,rmsprop,tanh,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:06.925660,
0.5983263352313273,128,0.01,57,149,5,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:04.258242,
0.7459402527979143,128,0.01,91,192,5,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.8,0.7368421052631579,0:00:04.436796,
0.5121481880936603,128,0.01,127,76,2,rmsprop,sigmoid,sum,0.2631578947368421,0,0.5,0.7368421052631579,0:00:01.298563,
0.5464486852150028,128,0.01,79,25,3,adam,relu,mean,0.7894736842105263,0.8571428571428571,0.825,0.8399570354457572,0:00:00.501332,
0.648780834014688,128,0.01,42,100,2,adam,sigmoid,mean,0.7631578947368421,0.8421052631578947,0.8321428571428571,0.8146227638060668,0:00:02.613996,
0.48272723998675215,128,0.01,106,116,3,SGD,relu,mean,0.7368421052631579,0.8484848484848484,0.5142857142857142,0.7368421052631579,0:00:02.359951,
0.45102437847640725,128,0.01,138,90,7,SGD,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.9035714285714286,0.7368421052631579,0:00:02.668302,
0.5373520029041603,128,0.01,120,197,3,adam,relu,mean,0.7368421052631579,0.8214285714285715,0.7107142857142856,0.8063238453276047,0:00:03.868587,
0.2827012112907673,128,0.01,39,154,6,adam,sigmoid,mean,0.7368421052631579,0.8484848484848484,0.26607142857142857,0.7368421052631579,0:00:05.845670,
0.2910998107395132,128,0.01,99,101,8,adam,sigmoid,sum,0.7368421052631579,0.8484848484848484,0.5,0.7368421052631579,0:00:03.015552,
